Path,Label
Data/raw\jazz\jazz.00040.wav,jazz
Data/raw\country\country.00029.wav,country
Data/raw\hiphop\hiphop.00043.wav,hiphop
Data/raw\blues\blues.00072.wav,blues
Data/raw\hiphop\hiphop.00017.wav,hiphop
Data/raw\country\country.00059.wav,country
Data/raw\metal\metal.00065.wav,metal
Data/raw\country\country.00079.wav,country
Data/raw\reggae\reggae.00056.wav,reggae
Data/raw\jazz\jazz.00015.wav,jazz
Data/raw\jazz\jazz.00013.wav,jazz
Data/raw\classical\classical.00098.wav,classical
Data/raw\disco\disco.00034.wav,disco
Data/raw\classical\classical.00065.wav,classical
Data/raw\jazz\jazz.00016.wav,jazz
Data/raw\pop\pop.00066.wav,pop
Data/raw\country\country.00084.wav,country
Data/raw\pop\pop.00046.wav,pop
Data/raw\pop\pop.00021.wav,pop
Data/raw\reggae\reggae.00088.wav,reggae
Data/raw\metal\metal.00034.wav,metal
Data/raw\country\country.00012.wav,country
Data/raw\reggae\reggae.00036.wav,reggae
Data/raw\hiphop\hiphop.00069.wav,hiphop
Data/raw\jazz\jazz.00009.wav,jazz
Data/raw\hiphop\hiphop.00070.wav,hiphop
Data/raw\disco\disco.00092.wav,disco
Data/raw\jazz\jazz.00018.wav,jazz
Data/raw\country\country.00060.wav,country
Data/raw\metal\metal.00055.wav,metal
Data/raw\hiphop\hiphop.00036.wav,hiphop
Data/raw\pop\pop.00067.wav,pop
Data/raw\jazz\jazz.00079.wav,jazz
Data/raw\metal\metal.00009.wav,metal
Data/raw\hiphop\hiphop.00042.wav,hiphop
Data/raw\jazz\jazz.00097.wav,jazz
Data/raw\metal\metal.00024.wav,metal
Data/raw\rock\rock.00011.wav,rock
Data/raw\jazz\jazz.00064.wav,jazz
Data/raw\reggae\reggae.00076.wav,reggae
Data/raw\disco\disco.00071.wav,disco
Data/raw\disco\disco.00074.wav,disco
Data/raw\metal\metal.00082.wav,metal
Data/raw\disco\disco.00025.wav,disco
Data/raw\metal\metal.00084.wav,metal
Data/raw\country\country.00041.wav,country
Data/raw\metal\metal.00019.wav,metal
Data/raw\classical\classical.00078.wav,classical
Data/raw\pop\pop.00019.wav,pop
Data/raw\classical\classical.00066.wav,classical
Data/raw\jazz\jazz.00065.wav,jazz
Data/raw\disco\disco.00031.wav,disco
Data/raw\hiphop\hiphop.00041.wav,hiphop
Data/raw\disco\disco.00062.wav,disco
Data/raw\country\country.00094.wav,country
Data/raw\rock\rock.00050.wav,rock
Data/raw\classical\classical.00091.wav,classical
Data/raw\metal\metal.00010.wav,metal
Data/raw\pop\pop.00070.wav,pop
Data/raw\hiphop\hiphop.00090.wav,hiphop
Data/raw\rock\rock.00034.wav,rock
Data/raw\disco\disco.00041.wav,disco
Data/raw\blues\blues.00079.wav,blues
Data/raw\rock\rock.00049.wav,rock
Data/raw\hiphop\hiphop.00047.wav,hiphop
Data/raw\reggae\reggae.00081.wav,reggae
Data/raw\rock\rock.00082.wav,rock
Data/raw\hiphop\hiphop.00033.wav,hiphop
Data/raw\reggae\reggae.00053.wav,reggae
Data/raw\rock\rock.00053.wav,rock
Data/raw\classical\classical.00087.wav,classical
Data/raw\jazz\jazz.00068.wav,jazz
Data/raw\pop\pop.00052.wav,pop
Data/raw\hiphop\hiphop.00061.wav,hiphop
Data/raw\rock\rock.00041.wav,rock
Data/raw\reggae\reggae.00051.wav,reggae
Data/raw\country\country.00077.wav,country
Data/raw\blues\blues.00042.wav,blues
Data/raw\rock\rock.00071.wav,rock
Data/raw\blues\blues.00043.wav,blues
Data/raw\pop\pop.00043.wav,pop
Data/raw\disco\disco.00038.wav,disco
Data/raw\reggae\reggae.00041.wav,reggae
Data/raw\reggae\reggae.00065.wav,reggae
Data/raw\hiphop\hiphop.00081.wav,hiphop
Data/raw\blues\blues.00039.wav,blues
Data/raw\metal\metal.00051.wav,metal
Data/raw\jazz\jazz.00021.wav,jazz
Data/raw\metal\metal.00081.wav,metal
Data/raw\blues\blues.00055.wav,blues
Data/raw\disco\disco.00014.wav,disco
Data/raw\classical\classical.00081.wav,classical
Data/raw\metal\metal.00011.wav,metal
Data/raw\metal\metal.00013.wav,metal
Data/raw\jazz\jazz.00055.wav,jazz
Data/raw\reggae\reggae.00096.wav,reggae
Data/raw\metal\metal.00097.wav,metal
Data/raw\pop\pop.00082.wav,pop
Data/raw\classical\classical.00090.wav,classical
Data/raw\metal\metal.00096.wav,metal
Data/raw\rock\rock.00029.wav,rock
Data/raw\country\country.00042.wav,country
Data/raw\reggae\reggae.00023.wav,reggae
Data/raw\hiphop\hiphop.00060.wav,hiphop
Data/raw\country\country.00097.wav,country
Data/raw\jazz\jazz.00059.wav,jazz
Data/raw\disco\disco.00059.wav,disco
Data/raw\hiphop\hiphop.00083.wav,hiphop
Data/raw\jazz\jazz.00000.wav,jazz
Data/raw\jazz\jazz.00083.wav,jazz
Data/raw\country\country.00072.wav,country
Data/raw\country\country.00076.wav,country
Data/raw\country\country.00011.wav,country
Data/raw\pop\pop.00063.wav,pop
Data/raw\reggae\reggae.00021.wav,reggae
Data/raw\blues\blues.00085.wav,blues
Data/raw\classical\classical.00035.wav,classical
Data/raw\reggae\reggae.00063.wav,reggae
Data/raw\disco\disco.00004.wav,disco
Data/raw\classical\classical.00045.wav,classical
Data/raw\metal\metal.00056.wav,metal
Data/raw\metal\metal.00033.wav,metal
Data/raw\pop\pop.00091.wav,pop
Data/raw\reggae\reggae.00058.wav,reggae
Data/raw\blues\blues.00013.wav,blues
Data/raw\jazz\jazz.00072.wav,jazz
Data/raw\country\country.00047.wav,country
Data/raw\rock\rock.00027.wav,rock
Data/raw\country\country.00019.wav,country
Data/raw\metal\metal.00006.wav,metal
Data/raw\classical\classical.00041.wav,classical
Data/raw\pop\pop.00092.wav,pop
Data/raw\country\country.00022.wav,country
Data/raw\hiphop\hiphop.00025.wav,hiphop
Data/raw\disco\disco.00070.wav,disco
Data/raw\metal\metal.00021.wav,metal
Data/raw\hiphop\hiphop.00068.wav,hiphop
Data/raw\rock\rock.00068.wav,rock
Data/raw\blues\blues.00088.wav,blues
Data/raw\hiphop\hiphop.00086.wav,hiphop
Data/raw\blues\blues.00094.wav,blues
Data/raw\blues\blues.00089.wav,blues
Data/raw\rock\rock.00077.wav,rock
Data/raw\hiphop\hiphop.00077.wav,hiphop
Data/raw\blues\blues.00048.wav,blues
Data/raw\hiphop\hiphop.00010.wav,hiphop
Data/raw\country\country.00066.wav,country
Data/raw\blues\blues.00097.wav,blues
Data/raw\country\country.00085.wav,country
Data/raw\metal\metal.00015.wav,metal
Data/raw\pop\pop.00007.wav,pop
Data/raw\country\country.00033.wav,country
Data/raw\hiphop\hiphop.00006.wav,hiphop
Data/raw\metal\metal.00040.wav,metal
Data/raw\jazz\jazz.00022.wav,jazz
Data/raw\jazz\jazz.00069.wav,jazz
Data/raw\metal\metal.00052.wav,metal
Data/raw\hiphop\hiphop.00020.wav,hiphop
Data/raw\blues\blues.00019.wav,blues
Data/raw\disco\disco.00056.wav,disco
Data/raw\pop\pop.00057.wav,pop
Data/raw\pop\pop.00069.wav,pop
Data/raw\jazz\jazz.00087.wav,jazz
Data/raw\country\country.00064.wav,country
Data/raw\blues\blues.00075.wav,blues
Data/raw\country\country.00099.wav,country
Data/raw\blues\blues.00053.wav,blues
Data/raw\hiphop\hiphop.00063.wav,hiphop
Data/raw\jazz\jazz.00026.wav,jazz
Data/raw\pop\pop.00033.wav,pop
Data/raw\hiphop\hiphop.00076.wav,hiphop
Data/raw\hiphop\hiphop.00082.wav,hiphop
Data/raw\disco\disco.00010.wav,disco
Data/raw\disco\disco.00054.wav,disco
Data/raw\disco\disco.00030.wav,disco
Data/raw\classical\classical.00012.wav,classical
Data/raw\disco\disco.00094.wav,disco
Data/raw\reggae\reggae.00069.wav,reggae
Data/raw\blues\blues.00011.wav,blues
Data/raw\blues\blues.00064.wav,blues
Data/raw\disco\disco.00099.wav,disco
Data/raw\metal\metal.00031.wav,metal
Data/raw\reggae\reggae.00075.wav,reggae
Data/raw\jazz\jazz.00088.wav,jazz
Data/raw\hiphop\hiphop.00008.wav,hiphop
Data/raw\country\country.00009.wav,country
Data/raw\classical\classical.00094.wav,classical
Data/raw\country\country.00062.wav,country
Data/raw\classical\classical.00049.wav,classical
Data/raw\pop\pop.00090.wav,pop
Data/raw\country\country.00053.wav,country
Data/raw\pop\pop.00015.wav,pop
Data/raw\blues\blues.00027.wav,blues
Data/raw\hiphop\hiphop.00040.wav,hiphop
Data/raw\blues\blues.00073.wav,blues
Data/raw\country\country.00075.wav,country
Data/raw\blues\blues.00025.wav,blues
Data/raw\disco\disco.00044.wav,disco
Data/raw\rock\rock.00035.wav,rock
Data/raw\classical\classical.00093.wav,classical
Data/raw\metal\metal.00091.wav,metal
Data/raw\pop\pop.00060.wav,pop
Data/raw\hiphop\hiphop.00011.wav,hiphop
Data/raw\disco\disco.00043.wav,disco
Data/raw\metal\metal.00037.wav,metal
Data/raw\disco\disco.00000.wav,disco
Data/raw\pop\pop.00086.wav,pop
Data/raw\blues\blues.00078.wav,blues
Data/raw\country\country.00005.wav,country
Data/raw\metal\metal.00062.wav,metal
Data/raw\country\country.00063.wav,country
Data/raw\rock\rock.00017.wav,rock
Data/raw\pop\pop.00055.wav,pop
Data/raw\metal\metal.00046.wav,metal
Data/raw\disco\disco.00079.wav,disco
Data/raw\blues\blues.00066.wav,blues
Data/raw\classical\classical.00017.wav,classical
Data/raw\jazz\jazz.00060.wav,jazz
Data/raw\hiphop\hiphop.00027.wav,hiphop
Data/raw\blues\blues.00065.wav,blues
Data/raw\classical\classical.00019.wav,classical
Data/raw\pop\pop.00097.wav,pop
Data/raw\disco\disco.00045.wav,disco
Data/raw\jazz\jazz.00066.wav,jazz
Data/raw\blues\blues.00016.wav,blues
Data/raw\reggae\reggae.00006.wav,reggae
Data/raw\rock\rock.00065.wav,rock
Data/raw\hiphop\hiphop.00094.wav,hiphop
Data/raw\country\country.00088.wav,country
Data/raw\jazz\jazz.00092.wav,jazz
Data/raw\hiphop\hiphop.00064.wav,hiphop
Data/raw\classical\classical.00029.wav,classical
Data/raw\classical\classical.00088.wav,classical
Data/raw\disco\disco.00040.wav,disco
Data/raw\pop\pop.00008.wav,pop
Data/raw\blues\blues.00068.wav,blues
Data/raw\reggae\reggae.00017.wav,reggae
Data/raw\pop\pop.00079.wav,pop
Data/raw\hiphop\hiphop.00092.wav,hiphop
Data/raw\jazz\jazz.00096.wav,jazz
Data/raw\classical\classical.00064.wav,classical
Data/raw\hiphop\hiphop.00030.wav,hiphop
Data/raw\metal\metal.00092.wav,metal
Data/raw\rock\rock.00048.wav,rock
Data/raw\jazz\jazz.00085.wav,jazz
Data/raw\pop\pop.00074.wav,pop
Data/raw\hiphop\hiphop.00084.wav,hiphop
Data/raw\hiphop\hiphop.00071.wav,hiphop
Data/raw\blues\blues.00031.wav,blues
Data/raw\classical\classical.00016.wav,classical
Data/raw\blues\blues.00010.wav,blues
Data/raw\metal\metal.00093.wav,metal
Data/raw\jazz\jazz.00032.wav,jazz
Data/raw\pop\pop.00003.wav,pop
Data/raw\rock\rock.00014.wav,rock
Data/raw\pop\pop.00012.wav,pop
Data/raw\rock\rock.00099.wav,rock
Data/raw\disco\disco.00015.wav,disco
Data/raw\disco\disco.00081.wav,disco
Data/raw\disco\disco.00098.wav,disco
Data/raw\reggae\reggae.00033.wav,reggae
Data/raw\rock\rock.00056.wav,rock
Data/raw\hiphop\hiphop.00014.wav,hiphop
Data/raw\classical\classical.00018.wav,classical
Data/raw\disco\disco.00033.wav,disco
Data/raw\metal\metal.00029.wav,metal
Data/raw\pop\pop.00068.wav,pop
Data/raw\metal\metal.00067.wav,metal
Data/raw\blues\blues.00041.wav,blues
Data/raw\jazz\jazz.00042.wav,jazz
Data/raw\disco\disco.00011.wav,disco
Data/raw\blues\blues.00003.wav,blues
Data/raw\jazz\jazz.00052.wav,jazz
Data/raw\pop\pop.00041.wav,pop
Data/raw\pop\pop.00059.wav,pop
Data/raw\hiphop\hiphop.00097.wav,hiphop
Data/raw\blues\blues.00099.wav,blues
Data/raw\metal\metal.00023.wav,metal
Data/raw\hiphop\hiphop.00095.wav,hiphop
Data/raw\disco\disco.00097.wav,disco
Data/raw\metal\metal.00054.wav,metal
Data/raw\jazz\jazz.00081.wav,jazz
Data/raw\reggae\reggae.00052.wav,reggae
Data/raw\hiphop\hiphop.00023.wav,hiphop
Data/raw\metal\metal.00025.wav,metal
Data/raw\classical\classical.00028.wav,classical
Data/raw\hiphop\hiphop.00031.wav,hiphop
Data/raw\jazz\jazz.00076.wav,jazz
Data/raw\metal\metal.00078.wav,metal
Data/raw\country\country.00065.wav,country
Data/raw\metal\metal.00017.wav,metal
Data/raw\hiphop\hiphop.00075.wav,hiphop
Data/raw\reggae\reggae.00087.wav,reggae
Data/raw\reggae\reggae.00093.wav,reggae
Data/raw\metal\metal.00000.wav,metal
Data/raw\classical\classical.00070.wav,classical
Data/raw\blues\blues.00070.wav,blues
Data/raw\reggae\reggae.00028.wav,reggae
Data/raw\blues\blues.00050.wav,blues
Data/raw\hiphop\hiphop.00019.wav,hiphop
Data/raw\metal\metal.00080.wav,metal
Data/raw\jazz\jazz.00077.wav,jazz
Data/raw\metal\metal.00042.wav,metal
Data/raw\reggae\reggae.00040.wav,reggae
Data/raw\disco\disco.00086.wav,disco
Data/raw\country\country.00057.wav,country
Data/raw\country\country.00080.wav,country
Data/raw\disco\disco.00093.wav,disco
Data/raw\rock\rock.00057.wav,rock
Data/raw\metal\metal.00041.wav,metal
Data/raw\reggae\reggae.00077.wav,reggae
Data/raw\hiphop\hiphop.00088.wav,hiphop
Data/raw\pop\pop.00077.wav,pop
Data/raw\pop\pop.00018.wav,pop
Data/raw\disco\disco.00057.wav,disco
Data/raw\rock\rock.00047.wav,rock
Data/raw\disco\disco.00035.wav,disco
Data/raw\disco\disco.00051.wav,disco
Data/raw\disco\disco.00009.wav,disco
Data/raw\pop\pop.00040.wav,pop
Data/raw\country\country.00093.wav,country
Data/raw\metal\metal.00048.wav,metal
Data/raw\jazz\jazz.00053.wav,jazz
Data/raw\hiphop\hiphop.00022.wav,hiphop
Data/raw\jazz\jazz.00014.wav,jazz
Data/raw\reggae\reggae.00038.wav,reggae
Data/raw\reggae\reggae.00080.wav,reggae
Data/raw\pop\pop.00072.wav,pop
Data/raw\metal\metal.00077.wav,metal
Data/raw\hiphop\hiphop.00096.wav,hiphop
Data/raw\rock\rock.00084.wav,rock
Data/raw\jazz\jazz.00099.wav,jazz
Data/raw\metal\metal.00089.wav,metal
Data/raw\country\country.00071.wav,country
Data/raw\country\country.00044.wav,country
Data/raw\disco\disco.00049.wav,disco
Data/raw\jazz\jazz.00012.wav,jazz
Data/raw\metal\metal.00049.wav,metal
Data/raw\disco\disco.00024.wav,disco
Data/raw\country\country.00007.wav,country
Data/raw\jazz\jazz.00029.wav,jazz
Data/raw\reggae\reggae.00032.wav,reggae
Data/raw\rock\rock.00096.wav,rock
Data/raw\blues\blues.00033.wav,blues
Data/raw\disco\disco.00012.wav,disco
Data/raw\classical\classical.00083.wav,classical
Data/raw\rock\rock.00086.wav,rock
Data/raw\hiphop\hiphop.00045.wav,hiphop
Data/raw\country\country.00038.wav,country
Data/raw\pop\pop.00051.wav,pop
Data/raw\rock\rock.00072.wav,rock
Data/raw\disco\disco.00087.wav,disco
Data/raw\pop\pop.00093.wav,pop
Data/raw\country\country.00046.wav,country
Data/raw\rock\rock.00040.wav,rock
Data/raw\reggae\reggae.00002.wav,reggae
Data/raw\pop\pop.00045.wav,pop
Data/raw\reggae\reggae.00005.wav,reggae
Data/raw\hiphop\hiphop.00034.wav,hiphop
Data/raw\rock\rock.00002.wav,rock
Data/raw\reggae\reggae.00099.wav,reggae
Data/raw\metal\metal.00050.wav,metal
Data/raw\classical\classical.00020.wav,classical
Data/raw\disco\disco.00055.wav,disco
Data/raw\reggae\reggae.00034.wav,reggae
Data/raw\rock\rock.00038.wav,rock
Data/raw\country\country.00087.wav,country
Data/raw\blues\blues.00004.wav,blues
Data/raw\disco\disco.00019.wav,disco
Data/raw\pop\pop.00024.wav,pop
Data/raw\rock\rock.00028.wav,rock
Data/raw\blues\blues.00015.wav,blues
Data/raw\metal\metal.00039.wav,metal
Data/raw\rock\rock.00073.wav,rock
Data/raw\metal\metal.00002.wav,metal
Data/raw\rock\rock.00091.wav,rock
Data/raw\metal\metal.00075.wav,metal
Data/raw\rock\rock.00097.wav,rock
Data/raw\pop\pop.00035.wav,pop
Data/raw\country\country.00008.wav,country
Data/raw\rock\rock.00037.wav,rock
Data/raw\hiphop\hiphop.00048.wav,hiphop
Data/raw\pop\pop.00075.wav,pop
Data/raw\classical\classical.00079.wav,classical
Data/raw\metal\metal.00007.wav,metal
Data/raw\pop\pop.00073.wav,pop
Data/raw\hiphop\hiphop.00049.wav,hiphop
Data/raw\rock\rock.00094.wav,rock
Data/raw\blues\blues.00059.wav,blues
Data/raw\pop\pop.00016.wav,pop
Data/raw\jazz\jazz.00047.wav,jazz
Data/raw\disco\disco.00002.wav,disco
Data/raw\disco\disco.00023.wav,disco
Data/raw\blues\blues.00006.wav,blues
Data/raw\pop\pop.00096.wav,pop
Data/raw\rock\rock.00001.wav,rock
Data/raw\jazz\jazz.00051.wav,jazz
Data/raw\pop\pop.00044.wav,pop
Data/raw\pop\pop.00001.wav,pop
Data/raw\blues\blues.00095.wav,blues
Data/raw\classical\classical.00060.wav,classical
Data/raw\disco\disco.00083.wav,disco
Data/raw\blues\blues.00030.wav,blues
Data/raw\hiphop\hiphop.00044.wav,hiphop
Data/raw\classical\classical.00053.wav,classical
Data/raw\pop\pop.00036.wav,pop
Data/raw\country\country.00026.wav,country
Data/raw\classical\classical.00082.wav,classical
Data/raw\pop\pop.00042.wav,pop
Data/raw\classical\classical.00069.wav,classical
Data/raw\rock\rock.00039.wav,rock
Data/raw\rock\rock.00013.wav,rock
Data/raw\reggae\reggae.00059.wav,reggae
Data/raw\metal\metal.00036.wav,metal
Data/raw\rock\rock.00093.wav,rock
Data/raw\jazz\jazz.00017.wav,jazz
Data/raw\blues\blues.00056.wav,blues
Data/raw\country\country.00056.wav,country
Data/raw\classical\classical.00005.wav,classical
Data/raw\metal\metal.00079.wav,metal
Data/raw\pop\pop.00034.wav,pop
Data/raw\metal\metal.00072.wav,metal
Data/raw\blues\blues.00058.wav,blues
Data/raw\jazz\jazz.00008.wav,jazz
Data/raw\classical\classical.00013.wav,classical
Data/raw\metal\metal.00043.wav,metal
Data/raw\metal\metal.00068.wav,metal
Data/raw\hiphop\hiphop.00038.wav,hiphop
Data/raw\jazz\jazz.00030.wav,jazz
Data/raw\hiphop\hiphop.00002.wav,hiphop
Data/raw\reggae\reggae.00057.wav,reggae
Data/raw\metal\metal.00071.wav,metal
Data/raw\jazz\jazz.00078.wav,jazz
Data/raw\reggae\reggae.00085.wav,reggae
Data/raw\pop\pop.00056.wav,pop
Data/raw\blues\blues.00005.wav,blues
Data/raw\disco\disco.00088.wav,disco
Data/raw\rock\rock.00016.wav,rock
Data/raw\disco\disco.00036.wav,disco
Data/raw\reggae\reggae.00018.wav,reggae
Data/raw\jazz\jazz.00062.wav,jazz
Data/raw\disco\disco.00084.wav,disco
Data/raw\classical\classical.00008.wav,classical
Data/raw\classical\classical.00058.wav,classical
Data/raw\pop\pop.00047.wav,pop
Data/raw\classical\classical.00030.wav,classical
Data/raw\disco\disco.00073.wav,disco
Data/raw\country\country.00051.wav,country
Data/raw\country\country.00035.wav,country
Data/raw\rock\rock.00043.wav,rock
Data/raw\country\country.00003.wav,country
Data/raw\reggae\reggae.00025.wav,reggae
Data/raw\country\country.00083.wav,country
Data/raw\metal\metal.00027.wav,metal
Data/raw\reggae\reggae.00004.wav,reggae
Data/raw\reggae\reggae.00071.wav,reggae
Data/raw\classical\classical.00050.wav,classical
Data/raw\metal\metal.00020.wav,metal
Data/raw\pop\pop.00038.wav,pop
Data/raw\rock\rock.00076.wav,rock
Data/raw\reggae\reggae.00011.wav,reggae
Data/raw\rock\rock.00067.wav,rock
Data/raw\pop\pop.00071.wav,pop
Data/raw\jazz\jazz.00058.wav,jazz
Data/raw\jazz\jazz.00084.wav,jazz
Data/raw\disco\disco.00080.wav,disco
Data/raw\country\country.00021.wav,country
Data/raw\disco\disco.00089.wav,disco
Data/raw\blues\blues.00040.wav,blues
Data/raw\reggae\reggae.00092.wav,reggae
Data/raw\reggae\reggae.00047.wav,reggae
Data/raw\classical\classical.00026.wav,classical
Data/raw\blues\blues.00076.wav,blues
Data/raw\blues\blues.00028.wav,blues
Data/raw\blues\blues.00049.wav,blues
Data/raw\reggae\reggae.00061.wav,reggae
Data/raw\rock\rock.00007.wav,rock
Data/raw\rock\rock.00078.wav,rock
Data/raw\classical\classical.00003.wav,classical
Data/raw\rock\rock.00080.wav,rock
Data/raw\classical\classical.00074.wav,classical
Data/raw\reggae\reggae.00062.wav,reggae
Data/raw\jazz\jazz.00095.wav,jazz
Data/raw\blues\blues.00045.wav,blues
Data/raw\metal\metal.00045.wav,metal
Data/raw\country\country.00002.wav,country
Data/raw\disco\disco.00028.wav,disco
Data/raw\country\country.00092.wav,country
Data/raw\hiphop\hiphop.00009.wav,hiphop
Data/raw\disco\disco.00064.wav,disco
Data/raw\country\country.00058.wav,country
Data/raw\metal\metal.00022.wav,metal
Data/raw\rock\rock.00070.wav,rock
Data/raw\country\country.00006.wav,country
Data/raw\classical\classical.00057.wav,classical
Data/raw\classical\classical.00052.wav,classical
Data/raw\blues\blues.00036.wav,blues
Data/raw\classical\classical.00077.wav,classical
Data/raw\disco\disco.00008.wav,disco
Data/raw\hiphop\hiphop.00035.wav,hiphop
Data/raw\metal\metal.00028.wav,metal
Data/raw\pop\pop.00083.wav,pop
Data/raw\blues\blues.00017.wav,blues
Data/raw\country\country.00032.wav,country
Data/raw\disco\disco.00042.wav,disco
Data/raw\rock\rock.00088.wav,rock
Data/raw\metal\metal.00099.wav,metal
Data/raw\reggae\reggae.00045.wav,reggae
Data/raw\classical\classical.00063.wav,classical
Data/raw\jazz\jazz.00036.wav,jazz
Data/raw\reggae\reggae.00009.wav,reggae
Data/raw\metal\metal.00074.wav,metal
Data/raw\metal\metal.00076.wav,metal
Data/raw\classical\classical.00037.wav,classical
Data/raw\reggae\reggae.00064.wav,reggae
Data/raw\metal\metal.00005.wav,metal
Data/raw\hiphop\hiphop.00065.wav,hiphop
Data/raw\classical\classical.00051.wav,classical
Data/raw\classical\classical.00015.wav,classical
Data/raw\classical\classical.00014.wav,classical
Data/raw\hiphop\hiphop.00058.wav,hiphop
Data/raw\blues\blues.00022.wav,blues
Data/raw\reggae\reggae.00082.wav,reggae
Data/raw\reggae\reggae.00039.wav,reggae
Data/raw\rock\rock.00081.wav,rock
Data/raw\rock\rock.00059.wav,rock
Data/raw\jazz\jazz.00056.wav,jazz
Data/raw\metal\metal.00001.wav,metal
Data/raw\classical\classical.00024.wav,classical
Data/raw\disco\disco.00001.wav,disco
Data/raw\rock\rock.00085.wav,rock
Data/raw\classical\classical.00025.wav,classical
Data/raw\classical\classical.00073.wav,classical
Data/raw\reggae\reggae.00043.wav,reggae
Data/raw\reggae\reggae.00014.wav,reggae
Data/raw\reggae\reggae.00016.wav,reggae
Data/raw\rock\rock.00010.wav,rock
Data/raw\rock\rock.00008.wav,rock
Data/raw\country\country.00015.wav,country
Data/raw\blues\blues.00038.wav,blues
Data/raw\hiphop\hiphop.00074.wav,hiphop
Data/raw\jazz\jazz.00004.wav,jazz
Data/raw\reggae\reggae.00037.wav,reggae
Data/raw\blues\blues.00080.wav,blues
Data/raw\hiphop\hiphop.00037.wav,hiphop
Data/raw\rock\rock.00075.wav,rock
Data/raw\country\country.00040.wav,country
Data/raw\reggae\reggae.00012.wav,reggae
Data/raw\pop\pop.00011.wav,pop
Data/raw\classical\classical.00099.wav,classical
Data/raw\hiphop\hiphop.00056.wav,hiphop
Data/raw\country\country.00028.wav,country
Data/raw\jazz\jazz.00098.wav,jazz
Data/raw\blues\blues.00008.wav,blues
Data/raw\disco\disco.00091.wav,disco
Data/raw\country\country.00017.wav,country
Data/raw\classical\classical.00076.wav,classical
Data/raw\classical\classical.00048.wav,classical
Data/raw\metal\metal.00008.wav,metal
Data/raw\country\country.00082.wav,country
Data/raw\country\country.00020.wav,country
Data/raw\reggae\reggae.00001.wav,reggae
Data/raw\pop\pop.00039.wav,pop
Data/raw\blues\blues.00077.wav,blues
Data/raw\blues\blues.00012.wav,blues
Data/raw\jazz\jazz.00049.wav,jazz
Data/raw\classical\classical.00038.wav,classical
Data/raw\disco\disco.00067.wav,disco
Data/raw\jazz\jazz.00063.wav,jazz
Data/raw\jazz\jazz.00010.wav,jazz
Data/raw\disco\disco.00032.wav,disco
Data/raw\reggae\reggae.00030.wav,reggae
Data/raw\blues\blues.00047.wav,blues
Data/raw\disco\disco.00048.wav,disco
Data/raw\jazz\jazz.00046.wav,jazz
Data/raw\country\country.00049.wav,country
Data/raw\reggae\reggae.00048.wav,reggae
Data/raw\hiphop\hiphop.00099.wav,hiphop
Data/raw\pop\pop.00080.wav,pop
Data/raw\hiphop\hiphop.00078.wav,hiphop
