,track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1190,TRLMWXI128F930F60E,Blues With A Feeling,The Paul Butterfield Blues Band,https://p.scdn.co/mp3-preview/b3b70ac6a399a37b6634c7a1182ff1b8bf8376e9?cid=774b29d4f13844c495f206cafdad9c86,0qF6s9FoXGICPfLvgY3sD0,"blues, blues_rock",Blues,2012,238386,0.411,0.511,0,-14.305,1,0.0497,0.388,0.184,0.696,0.875,134.006,1
1249,TRGETDV128E0796895,Serpent Dream,Mike Oldfield,https://p.scdn.co/mp3-preview/a03b7ea19de00440ee310b84d4e0456c0b85ab4a?cid=774b29d4f13844c495f206cafdad9c86,1tuJXivq6DkpSmTUhxcTfg,"instrumental, progressive_rock, new_age",New Age,1998,173026,0.719,0.647,4,-11.321,1,0.0602,0.721,0.926,0.478,0.0395,108.009,3
1419,TROVELG128F4278F1E,Tantas cosas que contar,La Oreja de Van Gogh,https://p.scdn.co/mp3-preview/92064cd4a1ecaffe7d28569f16ce0ba671091503?cid=774b29d4f13844c495f206cafdad9c86,09oZXunRcHWgNc4jYxDeue,,Latin,2000,233133,0.27,0.638,11,-7.238,1,0.0379,0.392,0.0,0.139,0.334,205.956,4
432,TRUJKVB128F932EBF2,What I Wouldn't Do,A Fine Frenzy,https://p.scdn.co/mp3-preview/89e93538fc0b6e2e9d1b9b08cb38471b724e255a?cid=774b29d4f13844c495f206cafdad9c86,0nbu39QHbXizPAP0TIVgQ9,"indie, female_vocalists, singer_songwriter, piano, indie_pop, love",Pop,2013,176485,0.613,0.77,2,-5.696,1,0.0411,0.305,0.000191,0.0847,0.427,115.154,4
1452,TRAHEZP12903CB181E,Hong Kong Mambo,Tito Puente,https://p.scdn.co/mp3-preview/646fefc6473e76cd211fb23a730cf3705d8c3e09?cid=774b29d4f13844c495f206cafdad9c86,010x50tCNxKYD85BkhDcgE,,Latin,2014,228363,0.668,0.547,5,-12.226,0,0.0502,0.862,0.867,0.0979,0.727,91.096,4
1470,TROJPWV128F9337986,Eh Massina Sintadoben,Tinariwen,https://p.scdn.co/mp3-preview/1b3c7a30ba8ef89edd0fcbbedac54b40bbb5c418?cid=774b29d4f13844c495f206cafdad9c86,1cy87UuxrkeyqX9l5hktEw,blues,World,2003,269533,0.331,0.614,7,-9.341,1,0.0567,0.923,0.973,0.115,0.765,199.698,4
1234,TRPFGJC128F92F1B49,Dreams Are More Precious,Enya,https://p.scdn.co/mp3-preview/6fb304f0ffa9016b58c2fed624fa9f2d034e9549?cid=774b29d4f13844c495f206cafdad9c86,02iAotNW5FJqB9jxntJ7D4,new_age,New Age,2019,265706,0.362,0.261,10,-12.596,1,0.0279,0.887,0.353,0.106,0.171,85.747,3
1281,TRNMKPS128F425A349,A Bridge (That Carries Us Over),Clannad,https://p.scdn.co/mp3-preview/c0b0756146ed0c45fb5ea95ffaf14ecb2b903c7f?cid=774b29d4f13844c495f206cafdad9c86,1LVLZvhemBFqIHLuNY6MJh,new_age,Folk,1996,269373,0.409,0.423,0,-14.253,0,0.0288,0.768,0.00122,0.336,0.154,79.982,4
1085,TRNYPRA128E0786505,1-800-Skauen,Wibutee,https://p.scdn.co/mp3-preview/d090a2ff90517972bb255f8a61295800d76f52fa?cid=774b29d4f13844c495f206cafdad9c86,1qmq6wt0SLuh9HlKhHJHt1,"experimental, noise",Jazz,2005,243960,0.603,0.595,1,-10.841,1,0.0294,0.117,0.326,0.119,0.379,89.986,4
610,TRODHKQ128F42962B4,Always Wanting You,Merle Haggard,https://p.scdn.co/mp3-preview/3b0e7ab0f94f32590947f22cf1af50f0217d3c72?cid=774b29d4f13844c495f206cafdad9c86,00d6IXxKALDRA4Ttwg0UFM,"soundtrack, country",Country,2008,184613,0.676,0.238,7,-14.291,1,0.0289,0.626,0.0547,0.118,0.356,96.635,4
1284,TRADJAG128F93051C2,Kindred Spirit,Deuter,https://p.scdn.co/mp3-preview/44290d5b6c0da0c00a6c92e206a6b3cbb5885e59?cid=774b29d4f13844c495f206cafdad9c86,04M6R4Fbah2AvgBPbCCbkl,"ambient, punk, new_age",New Age,2007,498213,0.136,0.0955,4,-21.049,0,0.0456,0.98,0.917,0.085,0.0392,73.976,3
1041,TRGLLXB128F92D5589,What's Been Going On,Amos Lee,https://p.scdn.co/mp3-preview/7d0a236e70f8c4dba8f6b328b8a194949b7c7596?cid=774b29d4f13844c495f206cafdad9c86,1q2yciMI9xjFWL8ZdiRrEo,"folk, singer_songwriter, soul, acoustic, guitar",Folk,2008,254466,0.468,0.356,1,-8.487,1,0.03,0.388,1.07e-05,0.114,0.191,137.07,4
220,TRSGZZB128F932DCCD,No Use,Jazzanova,https://p.scdn.co/mp3-preview/c0bc9855a3c4307ea2aa61b19d40c0143d6e2ac8?cid=774b29d4f13844c495f206cafdad9c86,0XUfeDoGcrHHfO2CDT8BI6,"jazz, ambient, chillout, downtempo, lounge",RnB,2002,250693,0.712,0.554,2,-7.912,0,0.0414,0.0574,0.585,0.0856,0.544,93.994,4
339,TROHNHN128F92E7CF2,Suburban Home,Descendents,https://p.scdn.co/mp3-preview/c16a2797a67902c9246216c5ccef11ac713d1cd6?cid=774b29d4f13844c495f206cafdad9c86,18bF9S3BlFzeZ33IqiRpte,"punk, 80s, punk_rock",Punk,1987,96827,0.312,0.967,2,-10.157,1,0.152,0.00444,0.0,0.928,0.0799,107.745,3
423,TRIKUXV128F42A5517,A Servant,Amorphis,https://p.scdn.co/mp3-preview/18371111478d0290d5966e93bfa6793b43d8b68b?cid=774b29d4f13844c495f206cafdad9c86,2LBLJ5j825jxP82tWj8HOt,"black_metal, death_metal, progressive_metal, melodic_death_metal, doom_metal, gothic_metal",Metal,2007,237026,0.242,0.922,0,-4.109,0,0.0741,4.7e-06,0.915,0.179,0.167,75.822,4
428,TRUMWIN128E0789F0F,Psyklon Aeon,Zyklon,https://p.scdn.co/mp3-preview/693188119df0e18b415dabc7c981e9aee8fd0088?cid=774b29d4f13844c495f206cafdad9c86,3pHriBqoFVQaYkPerPSBDZ,"black_metal, death_metal",Metal,2014,206026,0.239,0.938,10,-5.621,0,0.0805,2.8e-06,0.105,0.366,0.133,96.674,4
1105,TRCPNJC128E078167D,Lonely As Can Be,The Concretes,https://p.scdn.co/mp3-preview/8326f6e61a9c983823273c6176f42abd6e884dcf?cid=774b29d4f13844c495f206cafdad9c86,1Hy67h4aEbip30QfRej2Nj,"indie, indie_pop, swedish",Rock,2003,212293,0.394,0.714,0,-5.696,1,0.0313,0.114,0.0393,0.0502,0.244,110.626,4
76,TRRHDQB128F93181C1,I'll Be Gone,Linkin Park,https://p.scdn.co/mp3-preview/b18cac25701bff19faf9312290b9861799a5bf3e?cid=774b29d4f13844c495f206cafdad9c86,3cQGb2POE359G9WH81bF60,"rock, electronic, alternative_rock, nu_metal",Country,2012,211093,0.501,0.927,7,-4.58,1,0.0292,0.00686,0.0,0.131,0.611,139.961,4
1391,TRJWBFA128F149B8FB,Ahimana,Tinariwen,https://p.scdn.co/mp3-preview/38345aa4aa069803eff255f0c50f25d9e099ad30?cid=774b29d4f13844c495f206cafdad9c86,0IPkt0KBndKGZSAWZEK9hP,,World,2007,300626,0.433,0.529,2,-5.98,1,0.0396,0.595,0.133,0.114,0.348,135.776,3
439,TRROTYB128F92F6ABB,Empty Streets,Late Night Alumni,https://p.scdn.co/mp3-preview/29b437530291e3cbe540a79bf564d41e695b983c?cid=774b29d4f13844c495f206cafdad9c86,0eMEUmjnR3LrwVtOhN8qZ1,"dance, chillout, trance, house, lounge, chill",Electronic,2006,499461,0.677,0.893,2,-8.026,0,0.0397,0.00882,0.832,0.634,0.646,125.986,4
1336,TRALOAO128F423E218,Paul Robeson,The World/Inferno Friendship Society,https://p.scdn.co/mp3-preview/83a0b56495ac127b64858dc08dc9527b1588adda?cid=774b29d4f13844c495f206cafdad9c86,01QXo2Tw3D4c48a2K1Ucyr,ska,Punk,2006,141346,0.565,0.914,2,-2.468,0,0.0934,0.168,0.000238,0.177,0.773,120.615,4
864,TRFQFYT128F92FF681,Rpeg,Autechre,https://p.scdn.co/mp3-preview/ab005d84238d36da9e424deed863190106d09d7d?cid=774b29d4f13844c495f206cafdad9c86,2Q9vfN92vj9TQgnN5Mq9CK,"electronic, experimental, techno, idm",Electronic,1999,360800,0.75,0.81,10,-9.04,0,0.0685,0.127,0.836,0.174,0.741,120.017,4
1080,TRHQLHY128F92FFC66,Draun Quarter,Autechre,https://p.scdn.co/mp3-preview/bdb040f7c63b4b9f1329321a718d308db793621d?cid=774b29d4f13844c495f206cafdad9c86,20nzfhyp0QA2FbA2M3F4xq,"electronic, downtempo, idm, dark_ambient",Electronic,1997,650866,0.574,0.992,0,-9.917,1,0.116,0.247,0.358,0.264,0.109,130.006,4
354,TREUVQI128F931BD8A,Protest Song '68,Refused,https://p.scdn.co/mp3-preview/e2487c08a3ef43a093e8a95d3846410d4f84b11c?cid=774b29d4f13844c495f206cafdad9c86,1TMHyjPhzVUL1hJZxBzPQk,"punk, hardcore, punk_rock, post_hardcore, swedish",Punk,1998,274480,0.652,0.652,6,-10.504,0,0.0403,0.00877,0.446,0.0762,0.0537,114.02,4
365,TRAOIAH128F92F707B,It Was A Good Day,Ice Cube,https://p.scdn.co/mp3-preview/091bba1ea946b2b8e5d210d80ccf053109f60225?cid=774b29d4f13844c495f206cafdad9c86,0epZHT6UAeiHJnk4VkTSRS,"rap, 90s, hip_hop",Rap,2014,260213,0.781,0.745,5,-5.885,0,0.0875,0.134,0.0382,0.0273,0.828,82.385,4
309,TRYHTPS128F427AC56,Hey Porter,Johnny Cash,https://p.scdn.co/mp3-preview/bb2c93c1c9ba5720000b232aeacb82d0de98fce8?cid=774b29d4f13844c495f206cafdad9c86,0033HZfEgQolEBOJ4TOjj7,"folk, singer_songwriter, country",Country,2014,134720,0.764,0.694,0,-6.663,1,0.0369,0.818,0.00295,0.121,0.946,120.72,4
736,TRGLPNC128F9307761,A Rose Is Still A Rose,Aretha Franklin,https://p.scdn.co/mp3-preview/310fcb9937ea41f72bb754617c9d84ef53eb5ed9?cid=774b29d4f13844c495f206cafdad9c86,0aTn2PZs3gyMq72kR0O5aC,"soul, funk",RnB,2014,266133,0.624,0.841,8,-6.358,0,0.254,0.171,0.0,0.0257,0.803,175.886,4
998,TRMVQZD128F931E7AC,Picky Bugger,Elbow,https://p.scdn.co/mp3-preview/c6fa1e0e0dda625e6102c738eaea8cd76377adca?cid=774b29d4f13844c495f206cafdad9c86,35XnT7g2ZjGF5WiKKJtmQs,"alternative, indie, psychedelic_rock, britpop",Rock,2005,187480,0.766,0.513,2,-9.309,0,0.228,0.0347,0.0691,0.932,0.91,219.993,3
621,TRZQWLN128F426235E,Jeff Wears Birkenstocks,NOFX,https://p.scdn.co/mp3-preview/a15ed505a2db834aa0824a39569d87766271ef2b?cid=774b29d4f13844c495f206cafdad9c86,2ahs18HewGgTJUlbcTdGKm,"punk, punk_rock",Punk,1994,86973,0.35,0.912,7,-9.54,1,0.0538,0.000568,8.72e-05,0.147,0.77,133.773,4
543,TRCEYJI128F426AC6C,Reasons,"Earth, Wind & Fire",https://p.scdn.co/mp3-preview/08a2dcb67dd75cab4e3503fe36a12142acf7b374?cid=774b29d4f13844c495f206cafdad9c86,00qmS6FlttMtZd82Cdgy5g,"soul, funk, 70s, rnb",RnB,1996,299866,0.601,0.354,3,-13.389,1,0.0388,0.467,0.0,0.114,0.633,126.411,4
1140,TRSAKTV128F427E7AD,Tired as i can be,Lucille Bogan,https://p.scdn.co/mp3-preview/290c59d0bf9eec16608a44a6add83e6d041fe316?cid=774b29d4f13844c495f206cafdad9c86,3Zc2QeJiPtdltPhxYVsMdl,"female_vocalists, blues",Blues,1933,154533,0.613,0.14,4,-12.888,1,0.043,0.994,1.96e-05,0.126,0.293,104.634,4
1296,TRMKIVC128F4298716,Sleep Long,Operation Ivy,https://p.scdn.co/mp3-preview/eab85a034388ace62c439f097bdff8553b4fcec6?cid=774b29d4f13844c495f206cafdad9c86,2ISumZiVuaXzvc62cCmWOH,"punk, ska",Punk,1989,128400,0.284,0.915,0,-6.068,1,0.0751,0.0265,0.0,0.423,0.661,80.121,4
554,TRIQRUV128F930FDDE,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,https://p.scdn.co/mp3-preview/db3cb989d59bc49b05c643dd148e7f26e53ab7c2?cid=774b29d4f13844c495f206cafdad9c86,0hJStAF11OUXlRlhJWitUo,"soul, 90s, rnb",RnB,2009,187840,0.277,0.384,4,-8.917,1,0.0286,0.801,0.0,0.183,0.234,140.482,4
679,TRLEPIS12903CBD612,Despicable Dogs,Small Black,https://p.scdn.co/mp3-preview/8398a2bacad1fdb7cb08c0f404b5e9cb28767c43?cid=774b29d4f13844c495f206cafdad9c86,05rmjcmtO0EG6o5Yl3OV66,"electronic, psychedelic, indie_pop",Rock,2010,232096,0.268,0.502,2,-5.082,1,0.0369,0.00274,0.783,0.102,0.196,119.732,4
49,TRCVCTZ128F425B552,Green Light,Lorde,https://p.scdn.co/mp3-preview/65b1344da1196d47dd222e9fdba922d63aa759a8?cid=774b29d4f13844c495f206cafdad9c86,3FQ26GroLnhQEja48FKYqT,"electronic, alternative, indie, pop, female_vocalists, singer_songwriter, dance, indie_pop, synthpop",RnB,2017,234661,0.597,0.733,9,-7.768,1,0.101,0.0151,2.09e-05,0.081,0.256,128.918,4
490,TRLLIHJ128F425C76C,Melting,Morbid Angel,https://p.scdn.co/mp3-preview/4045ce260051816a3d672ada0eeec0815ea518dc?cid=774b29d4f13844c495f206cafdad9c86,1kW1BtNND8wH6r2WRgF2TH,"death_metal, dark_ambient",Folk,1995,80907,0.443,0.357,10,-22.579,0,0.0307,0.0508,0.815,0.118,0.218,97.121,4
316,TRUFXOK128F4248313,La Primavera,Manu Chao,https://p.scdn.co/mp3-preview/3c931c3639805e7968bf000d2b9b9d516932cc1a?cid=774b29d4f13844c495f206cafdad9c86,0hVEHoKFZkHiYpsqpM0kr5,"folk, reggae, 00s, ska",Latin,2009,495960,0.301,0.964,11,-5.115,0,0.0987,0.00811,0.00231,0.901,0.761,182.378,4
904,TRUWKHZ128F428A4B0,How Forever Feels,Kenny Chesney,https://p.scdn.co/mp3-preview/53e2b795c9005d82de61565ad469c56f593980e1?cid=774b29d4f13844c495f206cafdad9c86,0aT3atw553Hlg6E5GbDoRs,country,Country,2000,188066,0.727,0.674,7,-7.422,1,0.0298,0.119,8.57e-06,0.276,0.604,124.939,4
636,TRPYSXL128F149B8F8,Cler Achel,Tinariwen,https://p.scdn.co/mp3-preview/4bae3ea4b1a0120200a8a82d330e739af7b7a119?cid=774b29d4f13844c495f206cafdad9c86,0aeMIQl2kMOMqStF3p1Ui1,blues,World,2007,267533,0.684,0.797,2,-5.4,1,0.0533,0.487,0.00716,0.0669,0.951,98.581,4
560,TRNGCNY128F92DFC78,Thank You (Dedication to Fans...),Christina Aguilera,https://p.scdn.co/mp3-preview/9215fc44212caabd000992fefcc4f0aa8b9f38bb?cid=774b29d4f13844c495f206cafdad9c86,0L2pSqnzpI8PaZwVzV8edX,"pop, female_vocalists, soul, rnb",Pop,2006,298960,0.79,0.454,10,-8.383,0,0.365,0.429,0.00827,0.118,0.658,90.038,4
486,TRNUUYM128F4242120,Neon Rebels,Soilwork,https://p.scdn.co/mp3-preview/8422565295241b4bf89af8e30f94f9428098be7d?cid=774b29d4f13844c495f206cafdad9c86,0tkVd3YiaQsu9nNZPwGI2K,"death_metal, melodic_death_metal",Metal,2000,204253,0.39,0.987,11,-6.601,0,0.0869,2.56e-05,0.00291,0.0724,0.4,98.553,4
67,TROJOFW128F4235E4F,Tonto,Battles,https://p.scdn.co/mp3-preview/d8f4aea095eb9e42e3549ae2955616c87a7838b0?cid=774b29d4f13844c495f206cafdad9c86,1wlvLwSy8jXzCUsWFJf8wc,"electronic, experimental, indie_rock, instrumental, post_rock",Latin,2007,463146,0.512,0.739,2,-6.943,0,0.0373,0.0112,0.269,0.0835,0.513,121.527,4
811,TRIMYXW128F425A099,Homely Girl,UB40,https://p.scdn.co/mp3-preview/23bb0b91a57b47fb770d196becae74bec33ba2da?cid=774b29d4f13844c495f206cafdad9c86,0EQKgaAsNhygj6DAzzPP1Z,reggae,RnB,2012,202973,0.787,0.476,2,-11.141,1,0.0575,0.194,8e-05,0.0534,0.915,82.914,4
493,TRRPCLK128F424C963,Riders of the Storm,HammerFall,https://p.scdn.co/mp3-preview/50d37a44c0daaaea318c2a8a7dcf7fea5a7ea819?cid=774b29d4f13844c495f206cafdad9c86,0SnsUUV1QrW1VOU7Svj0MX,"heavy_metal, power_metal, swedish",Metal,2003,294426,0.296,0.979,8,-3.918,1,0.0768,6e-05,2.59e-05,0.46,0.127,140.798,4
310,TRBFBZW128F4241849,Peace Beneath the City,Iron & Wine,https://p.scdn.co/mp3-preview/857fb63ac7a7115408110a6585571911de4cac1b?cid=774b29d4f13844c495f206cafdad9c86,0FSQujUrfpokcp5pTPmHt2,"indie, folk, indie_rock, singer_songwriter, acoustic",Folk,2007,284973,0.622,0.458,1,-8.878,0,0.0594,0.321,0.625,0.155,0.779,120.299,4
1096,TRUQYFH128F1460C68,Masterplan,jj,https://p.scdn.co/mp3-preview/076552e210197d11ea1a98903f2c8ba8d9731bdf?cid=774b29d4f13844c495f206cafdad9c86,19Wglow8XezaTUBmLJY3Xh,"indie, pop, swedish",RnB,2009,168480,0.598,0.595,0,-10.896,1,0.0278,0.0258,1.2e-05,0.0927,0.363,114.974,4
1247,TRLOGUD128F931023F,Entering Twin Falls,Nicholas Gunn,https://p.scdn.co/mp3-preview/d15b84ae3168726a79592bacb950b8a3ac23805e?cid=774b29d4f13844c495f206cafdad9c86,0JXgo2MQrmbUCtQXX4ya0s,"instrumental, new_age",New Age,1995,250973,0.293,0.642,0,-12.68,1,0.0396,0.0721,0.941,0.133,0.363,112.23,5
184,TRRAMCS128F934B99D,Wrath Upon Ourselves,As I Lay Dying,https://p.scdn.co/mp3-preview/419f0d8171cca63c5f9cd24d977bcf7a49c890b6?cid=774b29d4f13844c495f206cafdad9c86,2tFlZsPDbsO8TUJF96wSv4,"metal, hardcore, thrash_metal, metalcore, melodic_death_metal",Metal,2007,241186,0.296,0.95,1,-4.13,1,0.114,0.0001,4.41e-05,0.0372,0.0548,177.101,4
306,TRHFFPB128F93146D6,Wrists of Kings,Isis,https://p.scdn.co/mp3-preview/0ac95e627ffebfe32847e69b8265e5e08a93d28a?cid=774b29d4f13844c495f206cafdad9c86,2iOf21eKSU9bhQD8pCKSyJ,"experimental, post_rock, progressive_metal, post_hardcore, doom_metal",Metal,2006,465400,0.338,0.853,4,-7.392,0,0.0461,0.108,0.903,0.153,0.251,128.183,4
